"名稱","地址","行政區","電話","城市"
"臺北市私立賢暉老人長期照顧中心(養護型)","臺北市北投區石牌路2段315巷34弄14、16號1樓","北投區","(02)28710770","台北市"
"臺北市私立高德老人長期照顧中心(養護型)","臺北市北投區磺港路156號1-3樓","北投區","(02)28982418","台北市"
"臺北市私立陽明山老人長期照顧中心(養護型)","臺北市北投區湖山里006鄰紗帽路116號","北投區","(02)28615006","台北市"
"臺北市私立全家老人長期照顧中心(養護型)","臺北市北投區永和里007鄰行義路96巷1號1-2樓","北投區","(02)28761692","台北市"
"臺北市私立倚青園老人長期照顧中心(養護型)","臺北市北投區永明里008鄰義理街63巷4弄7、11之1-3號1樓","北投區","(02)28283533","台北市"
"臺北市私立榮健老人長期照顧中心(養護型)","臺北市北投區建民里016鄰文林北路94巷5弄13號1-2樓、15號2樓","北投區","(02)28216113","台北市"
"臺北市私立全寶老人長期照顧中心(養護型)","臺北市北投區永欣里014鄰石牌路2段315巷16弄2、2-1號1樓","北投區","(02)28710793","台北市"
"臺北市私立義行老人長期照顧中心(養護型)","臺北市北投區永和里001鄰石牌路2段357巷1號4-6樓","北投區","(02)28767880","台北市"
"臺北市私立建民老人長期照顧中心(養護型)","臺北市北投區文林里019鄰建民路22、24、26、26之1號1樓","北投區","(02)28250799","台北市"
"臺北市私立榮祥老人長期照顧中心(養護型)","臺北市北投區文林里019鄰文林北路166巷5弄2號1-2樓、4號1樓","北投區","(02)28213709","台北市"
"臺北市私立北投老人長期照顧中心(養護型)","臺北市北投區公館路231巷20號1樓","北投區","(02)28937412","台北市"
"臺北市私立全泰老人長期照顧中心(養護型)","臺北市北投區永和里006鄰行義路105號1-2樓","北投區","(02)28747739","台北市"
"臺北市私立崇順老人養護所","臺北市北投區關渡里013鄰知行路52巷1號、54號1-2樓","北投區","(02)28581979","台北市"
"臺北市私立聖心老人養護所","臺北市北投區稻香路321號1樓","北投區","(02)28913890","台北市"
"臺北市私立天下知老人長期照顧中心(養護型)","臺北市北投區關渡里003鄰關渡路60、62之1號1樓","北投區","(02)28582701","台北市"
"臺北市私立怡靜老人長期照顧中心(養護型)","臺北市北投區吉利里002鄰致遠二路96巷3弄1、3號1樓","北投區","(02)28200437","台北市"
"臺北市私立貴族老人長期照顧中心(養護型)","臺北市北投區大同里013鄰大業路452巷2號2-5樓","北投區","(02)28965555","台北市"
"臺北市私立行義老人長期照顧中心(養護型)","臺北市北投區永和里001鄰石牌路2段357巷1號1-3樓","北投區","(02)28729599","台北市"
"臺北市私立豪門老人長期照顧中心(養護型)","臺北市北投區大同里013鄰大業路452巷2號6-9樓","北投區","(02)28954492","台北市"
"臺北市私立奇里岸老人長期照顧中心(養護型)","臺北市北投區立農里013鄰西安街2段245號1-2樓","北投區","(02)28275139","台北市"
"財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型)","臺北市北投區秀山里002鄰中和街錫安巷112號1-2樓及地下1樓","北投區","(02)28936161","台北市"
"臺北市私立同德老人長期照顧中心(養護型)","臺北市北投區榮華里004鄰明德路306號1-7樓","北投區","(02)28281328","台北市"
"臺北市私立群英老人長期照顧中心(養護型)","臺北市松山區仁愛里013鄰敦化南路1段7號4樓","松山區","(02)25791400","台北市"
"臺北市私立台大老人長期照顧中心(養護型)","臺北市松山區仁愛里013鄰敦化南路1段7號4樓之1","松山區","(02)25792816","台北市"
"臺北市私立仁仁老人長期照顧中心(養護型)","臺北市松山區新聚里003鄰南京東路5段356號2樓","松山區","(02)27659900","台北市"
"臺北市私立康壯老人長期照顧中心(養護型)","臺北市松山區吉祥里001鄰八德路4段203、205號1、2樓","松山區","(02)27686697","台北市"
"臺北市私立倚青苑老人養護所","臺北市信義區永春里002鄰中坡北路21號1-2樓、23號2樓","信義區","(02)27477232","台北市"
"臺北市私立康庭老人養護所","臺北市信義區安康里017鄰信義路6段15巷16號1樓","信義區","(02)23460684","台北市"
"臺北市私立福安老人長期照顧中心(養護型)","臺北市南港區萬福里007鄰玉成街140巷21、23號2樓","南港區","(02)27850584","台北市"
"臺北市私立葉媽媽老人長期照顧中心(養護型)","臺北市萬華區錦德里012鄰西園路2段243之13號1-4樓","萬華區","(02)23329986","台北市"
"財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心","臺北市萬華區保德里001鄰德昌街125巷11號1-4樓、13號1樓","萬華區","(02)23046715","台北市"
"臺北市私立葉爸爸老人長期照顧中心(養護型)","臺北市萬華區錦德里012鄰西園路2段243之14號1-4樓","萬華區","(02)23329985","台北市"
"臺北市私立中山老人長期照顧中心(養護型)","臺北市萬華區菜園里001鄰峨眉街124號、124之1號1樓","萬華區","(02)23759590","台北市"
"財團法人臺北市私立愛愛院","臺北市萬華區糖廍里006鄰大理街175巷27號","萬華區","(02)23060493","台北市"
"臺北市私立軒儀老人長期照顧中心(養護型)","臺北市萬華區華江里028鄰和平西路3段384號1樓","萬華區","(02)23088661","台北市"
