序號,行政區,院所名稱,卡介苗,幼兒常規,幼兒流感3歲以下,幼兒流感3歲以上,成人流感,COVID-19,肺炎鏈球菌,輪狀病毒,M痘,腸病毒,地址,電話,語音預約
225,63000080,臺北市立萬芳醫院-委託臺北醫學大學辦理,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,臺北市文山區興隆路三段111號,(02)29307930,
226,63000080,臺北市立聯合醫院附設政大門診部,◎,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市文山區指南路二段117號,(02)82377441,
227,63000080,佳鴻診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市文山區羅斯福路六段256號1樓,(02)29333096,
228,63000080,洪佑承小兒專科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市文山區興隆路四段64-2號1樓,(02)29364708,
229,63000080,葉洪小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市文山區興隆路三段202號,(02)22300055,
230,63000080,林建輝小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市文山區興隆路二段70號1樓,(02)29334933,
231,63000080,徐慧玲診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市文山區興隆路四段97號,(02)22340000,
232,63000080,興隆內科小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市文山區興隆路二段17號,(02)29311736,
233,63000080,屈銘軒小兒科診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市文山區興隆路二段301巷4-2號,(02)29308518,
234,63000080,瑞萱診所,,◎,◎,◎,◎,◎,◎,,,,臺北市文山區景華街124號,(02)29305313,
235,63000080,興隆李內兒科診所,,◎,◎,◎,◎,◎,◎,,,,臺北市文山區興隆路一段12號,(02)29314537,
236,63000080,德安小兒科診所,,◎,◎,◎,◎,◎,,◎,,,臺北市文山區興隆路四段6-10號1樓,(02)29395299,
237,63000080,樂群耳鼻喉科家醫科診所,,◎,◎,◎,◎,◎,,,,,臺北市文山區木新路三段202號,(02)22340158,
238,63000080,震杰小兒科診所,,◎,◎,◎,◎,◎,,,,,臺北市文山區景興路129號,(02)89351869,
239,63000080,黃偉志小兒科診所,,◎,◎,◎,◎,,,◎,,,臺北市文山區萬慶街12號,(02)29354556,
240,63000080,仁荔健康診所,,,◎,◎,◎,◎,◎,,,,臺北市文山區興隆路一段258號1樓,(02)29339986,
241,63000080,東翰診所,,,◎,◎,◎,◎,◎,,,,臺北市文山區興隆路二段139號,(02)29308330,
242,63000080,仁耀診所,,,,◎,◎,◎,◎,,,,臺北市文山區興隆路一段273號,(02)29317788,
243,63000080,順欣診所,,,,◎,◎,◎,◎,,,,臺北市文山區木柵路三段112號,(02)29391011,
244,63000080,景美醫院,,,,,◎,◎,◎,,,,臺北市文山區羅斯福路六段280號,(02)29331010,
245,63000080,吳錫賢診所,,,,,◎,◎,◎,,,,臺北市文山區木新路三段208號,(02)29381577,
246,63000080,官世英診所,,,,,◎,◎,◎,,,,臺北市文山區景興路45號1樓,(02)86638189,
247,63000080,定安診所,,,,,◎,◎,◎,,,,臺北市文山區景興路165號,(02)29323755,
248,63000080,林正豐診所,,,,,◎,◎,◎,,,,臺北市文山區保儀路25號,(02)29363665,
249,63000080,欣民診所,,,,,◎,◎,◎,,,,臺北市文山區保儀路37號,(02)29375115,
250,63000080,泓仁診所,,,,,◎,◎,◎,,,,臺北市文山區木新路二段273號,(02)29382627,
251,63000080,健鑫診所,,,,,◎,◎,◎,,,,臺北市文山區忠順街一段28號1樓,(02)29375680,
252,63000080,陳建業診所,,,,,◎,◎,◎,,,,臺北市文山區景文街86號,(02)29358181,
253,63000080,世誠耳鼻喉科診所,,,,,◎,◎,,,,,臺北市文山區忠順街一段107號1樓,(02)22343618,
254,63000090,臺北市立聯合醫院忠孝院區,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,臺北市南港區同德路87號,(02)27861288,
255,63000090,臺北市立聯合醫院附設南港門診部,◎,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市南港區南港路一段360號1樓,(02)27868756,
256,63000090,義仁兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市南港區玉成街138號1樓,(02)26515929,
257,63000090,蔣小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市南港區玉成街166巷30號1樓,(02)26513761,
258,63000090,友力耳鼻喉科診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市南港區中坡北路12號1樓,(02)27853913,
259,63000090,永育醫療福德診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市南港區福德街320號,(02)27850700,
260,63000090,天仁小兒科診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市南港區成福路21號,(02)27862687,
261,63000090,天仁健康診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市南港區成福路21號,(02)27862687,
262,63000090,維康診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市南港區研究院路二段84巷1號1樓,(02)26517748,
263,63000090,杏安診所,,◎,◎,◎,◎,◎,◎,,,,臺北市南港區同德路74、76號1樓,(02)27892008,
264,63000090,松展診所,,◎,◎,◎,◎,◎,◎,,,,臺北市南港區忠孝東路六段110巷18號,(02)27631373,
265,63000090,陳志鑫診所,,◎,◎,◎,◎,◎,◎,,,,臺北市南港區八德路四段812號,(02)27839698,
266,63000090,李文珍小兒科診所,,◎,◎,◎,◎,,◎,◎,,,臺北市南港區研究院路二段74號,(02)26511871,
267,63000090,陳勝吉診所,,,◎,◎,◎,◎,◎,,,,臺北市南港區研究院路一段115號1樓,(02)27836972,
268,63000090,中坡耳鼻喉科診所,,,,◎,◎,◎,◎,,,,臺北市南港區中坡南路29號,(02)27850329,
269,63000100,三軍總醫院附設民眾診療服務處,◎,◎,◎,◎,◎,◎,◎,◎,◎,,臺北市內湖區成功路二段325號,(02)87923311,
270,63000100,康寧醫療財團法人康寧醫院,◎,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區成功路五段420巷26號,(02)26345500,
271,63000100,臺北市立聯合醫院附設內湖門診部,◎,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區民權東路六段99號之1,(02)27908387,
272,63000100,中國醫藥大學附設醫院臺北分院,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市內湖區內湖路二段360號,(02)27919696,
273,63000100,魏穀年診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市內湖區內湖路一段403號,(02)26572691,
274,63000100,小禾馨民權小兒專科診所,◎,◎,◎,◎,◎,◎,,◎,,,臺北市內湖區行忠路191號1樓,(02)55713333,
275,63000100,禾馨民權婦幼診所,◎,◎,◎,◎,◎,◎,,◎,,,臺北市內湖區民權東路六段42號2樓,(02)55713333,
276,63000100,永育醫療大湖診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區成功路四段366號,(02)27906002,
277,63000100,湖欣診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區成功路四段327號,(02)27918350,
278,63000100,劉淦華診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區金龍路43號,(02)27905374,
279,63000100,佳霖診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區東湖路147號2樓,(02)26334535,
280,63000100,永育醫療康樂診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市內湖區康樂街82號,(02)26308800,
281,63000100,焉醫師診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市內湖區內湖路二段21號,(02)27995008,
282,63000100,仁弘耳鼻喉科診所,,◎,◎,◎,◎,◎,◎,,,,臺北市內湖區內湖路一段737巷50弄33號1樓,(02)26596360,
283,63000100,馬思特診所,,◎,◎,◎,◎,◎,◎,,,,臺北市內湖區成功路四段53號1樓,(02)27925994,
284,63000100,高峰診所,,◎,◎,◎,◎,◎,◎,,,,臺北市內湖區內湖路二段39號1樓,(02)26591888,
285,63000100,國泰醫療財團法人內湖國泰診所,,◎,◎,◎,◎,,◎,◎,,,臺北市內湖區瑞光路337號C棟,(02)87972121,
286,63000100,林登山耳鼻喉科診所,,◎,◎,◎,◎,◎,,,,,臺北市內湖區文德路96號,(02)26596638,
287,63000100,連安診所,,◎,◎,◎,◎,◎,,,,,臺北市內湖區內湖路一段619號1樓,(02)26276705,
288,63000100,雙湖診所,,◎,◎,◎,◎,◎,,,,,臺北市內湖區金龍路49號,(02)27910066,
289,63000100,魏之明小兒科診所,,◎,◎,◎,◎,◎,,,,,臺北市內湖區康寧路三段54-6號,(02)26306968,
290,63000100,林永正診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區康樂街130號,(02)26315567,
291,63000100,日新診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區成功路五段446號1樓,(02)26342743,
292,63000100,王慶森診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區港墘路65號,(02)27986052,
293,63000100,成安耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區成功路四段61巷10號,(02)27935940,
294,63000100,育睿診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區內湖路一段217巷35號,(02)26560801,
295,63000100,康育診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區成功路三段189號2樓,(02)27909134,
296,63000100,陽光活力診所,,,◎,◎,◎,◎,◎,,,,臺北市內湖區瑞光路500號1樓,(02)87973828,
297,63000100,林孟勳診所,,,◎,◎,◎,◎,,,,,臺北市內湖區成功路四段61巷32弄2號,(02)87920955,
298,63000100,新明診所,,,,◎,◎,◎,◎,,,,臺北市內湖區新明路386號,(02)87921282,
299,63000100,內湖長春診所,,,,,◎,◎,◎,,,,臺北市內湖區民權東路六段64號,(02)27926868,
300,63000100,思維診所,,,,,◎,◎,◎,,,,臺北市內湖區文德路25號,(02)26575779,
301,63000100,陳森豊聯合診所,,,,,◎,◎,◎,,,,臺北市內湖區環山路1段2號,(02)27990361,
302,63000100,葫洲診所,,,,,◎,◎,◎,,,,臺北市內湖區康寧路三段35、37號,(02)26306606,
303,63000100,樂善診所,,,,,◎,◎,◎,,,,臺北市內湖區行善路260號,(02)27902600,
304,63000100,成功耳鼻喉科診所,,,,,◎,◎,,,,,臺北市內湖區成功路三段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,(02)27940064,
305,63000100,瑞康診所,,,,,◎,◎,,,,,臺北市內湖區江南街96巷3號,(02)26599691,
306,63000100,誠康診所,,,,,◎,◎,,,,,臺北市內湖區內湖路一段585號,(02)26572585,
307,63000100,麗康診所,,,,,◎,◎,,,,,臺北市內湖區金湖路362號,(02)26342296,
308,63000100,洪永祥診所,,,,,◎,,,,,,臺北市內湖區成功路三段6巷1號,(02)87917601,
309,63000110,新光醫療財團法人新光吳火獅紀念醫院,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,臺北市士林區文昌路95號,(02)28332211,
310,63000110,臺北市立聯合醫院陽明院區,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,臺北市士林區雨聲街105號,(02)28353456,
311,63000110,愛林診所,◎,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區承德路四段222號,(02)28836881,
312,63000110,臺北市立聯合醫院附設士林門診部,◎,◎,◎,◎,◎,◎,◎,◎,,,臺北市士林區中正路439號1樓,(02)28836268,
313,63000110,士林小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區中正路249號,(02)28812485,
314,63000110,存德小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區文林路460號,(02)28342567,
315,63000110,貝爾診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區中山北路七段82巷9號1樓,(02)28729980,
316,63000110,佩佩婦幼診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區中山北路六段182號,(02)28386262,
317,63000110,科安診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區社中街116號,(02)28110699,
318,63000110,張虔熙小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區中山北路六段282號,(02)28361368,
319,63000110,樹爸爸親子診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市士林區德行東路286號,(02)28381838,
320,63000110,蘇慧卿診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市士林區大南路274號,(02)28829955,
321,63000110,何小兒科診所,,◎,◎,◎,◎,◎,◎,,,◎,臺北市士林區福港街176號,(02)28827401,
322,63000110,士林欣然耳鼻喉科診所,,◎,◎,◎,◎,◎,◎,,,,臺北市士林區文林路450號1樓,(02)28386090,
323,63000110,柳橙親子診所,,◎,◎,◎,◎,◎,,◎,,,臺北市士林區天母北路35號14樓,(02)28742818,
324,63000110,蕭雨青小兒科診所,,◎,◎,◎,◎,◎,,,,,臺北市士林區延平北路五段292號,(02)28126415,
325,63000110,小禾馨士林小兒專科診所,,◎,◎,◎,◎,,,◎,,,臺北市士林區中正路289號,(02)28827333,
326,63000110,和謙耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區社中街362號,(02)28165678,
327,63000110,忠誠聯合診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區忠誠路二段50巷35號,(02)88661176,
328,63000110,粱耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區社正路12之1號,(02)28168456,
329,63000110,榮清耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區文林路483號1樓,(02)28316878,
330,63000110,橙光耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區大南路286號,(02)28883222,
331,63000110,耀明診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區中正路322號,(02)28320657,
332,63000110,永捷診所,,,◎,◎,◎,◎,◎,,,,臺北市士林區社子街67號1樓,(02)28111472,
333,63000110,慈田耳鼻喉科診所,,,◎,◎,◎,◎,,,,,臺北市士林區延平北路五段185號1樓,(02)28123595,
334,63000110,林博通醫師診所,,,,◎,◎,◎,,,,,臺北市士林區通河街60號,(02)28851148,
335,63000110,德泰耳鼻喉科診所,,,,,◎,◎,◎,,,,臺北市士林區通河街42-1號,(02)28851570,
336,63000110,心福內科診所,,,,,◎,◎,,,,,臺北市士林區中山北路六段167號,(02)28331115,
337,63000110,杏暉診所,,,,,◎,◎,,,,,臺北市士林區社子街15號1樓,(02)28117094,
338,63000110,陳彥銘耳鼻喉科診所,,,,,◎,◎,,,,,臺北市士林區士東路12之1號,(02)28381770,
339,63000110,鄭醫師診所,,,,,◎,◎,,,,,臺北市士林區延平北路五段120號1樓2樓,(02)28127412,
340,63000110,德生診所,,,,,◎,,◎,,,,臺北市士林區文林路552號,(02)29812988,
341,63000110,宜達診所,,,,,◎,,◎,,,,臺北市士林區前港街86號1樓,(02)28833678,
342,63000110,平安診所,,,,,◎,,,,,,臺北市士林區社子街36-1號,(02)28167263,
343,63000110,天母耳鼻喉科診所,,,,,,◎,,,,,臺北市士林區中山北路六段744號1樓,(02)28748874,
344,63000110,家庭醫師張正弘診所,,,,,,◎,,,,,臺北市士林區天玉街38巷9號,(02)28747399,
345,63000120,臺北榮民總醫院,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,臺北市北投區石牌路二段201號,(02)28712121,
346,63000120,振興醫療財團法人振興醫院,◎,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區振興路45號,(02)28264400,
347,63000120,臺北市立聯合醫院附設北投門診部,◎,◎,◎,◎,◎,◎,◎,◎,,,臺北市北投區新市街30號5樓,(02)28912670,
348,63000120,台北欣安耳鼻喉科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區石牌路一段152號,(02)28210501,
349,63000120,何叔芳小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區石牌路二段90巷12號1樓,(02)28206886,
350,63000120,宏恩兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區致遠一路二段99號1樓,(02)28271110,
351,63000120,李伯匯小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區石牌路一段93號1樓,(02)28221212,
352,63000120,陳獻明小兒科診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區中央南路一段69號1樓,(02)28928950,
353,63000120,黃正宏診所,,◎,◎,◎,◎,◎,◎,◎,,◎,臺北市北投區西安街一段359號,(02)28217076,
354,63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,,◎,◎,◎,◎,◎,◎,◎,,,臺北市北投區知行路225巷12號,(02)28587000,
355,63000120,昱德聯合診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市北投區光明路102號1樓,(02)28975050,
356,63000120,清田婦產科家醫科診所,,◎,◎,◎,◎,◎,◎,◎,,,臺北市北投區中和街268號,(02)28931323,
357,63000120,陳柏宏親子診所,,◎,◎,◎,◎,◎,,◎,,◎,臺北市北投區明德路124號,(02)28225257,
358,63000120,和勤診所,,◎,◎,◎,◎,◎,◎,,,,臺北市北投區中央北路四段543號1樓,(02)28942339,
359,63000120,陳信方小兒科診所,,◎,◎,◎,◎,◎,,◎,,,臺北市北投區明德路106號,(02)28201068,
360,63000120,黃浩魁小兒科診所,,◎,◎,◎,◎,◎,,◎,,,臺北市北投區中央北路一段168號,(02)28983256,
361,63000120,蔡秉勳小兒科診所,,◎,◎,◎,◎,◎,,◎,,,臺北市北投區中和街281號,(02)28966525,
362,63000120,慈恩耳鼻喉科診所,,,◎,◎,◎,◎,◎,,,,臺北市北投區中央南路一段13號,(02)28978787,
363,63000120,橙品耳鼻喉科診所,,,◎,◎,◎,◎,,,,,臺北市北投區自強街70號1樓,(02)28200022,
364,63000120,台新診所,,,,◎,◎,◎,◎,,,,臺北市北投區光明路145號,(02)28936508,
365,63000120,張晉豪診所,,,,◎,◎,◎,,,,,臺北市北投區中央南路一段155號,(02)28913820,
366,63000120,三軍總醫院北投分院附設民眾診療服務處,,,,,◎,◎,◎,,,,臺北市北投區新民路60號,(02)28959808,
367,63000120,醫療財團法人辜公亮基金會和信治癌中心醫院,,,,,◎,◎,◎,,,,臺北市北投區立德路125號,(02)28970011,
368,63000120,大順耳鼻喉科診所,,,,,◎,◎,◎,,,,臺北市北投區中和街236號,(02)28964588,
369,63000120,天母力康診所,,,,,◎,◎,◎,,,,臺北市北投區明德路365號3樓,(02)28210866,
370,63000120,文遠診所,,,,,◎,◎,◎,,,,臺北市北投區石牌路二段346號1樓、2樓,(02)28739991,
371,63000120,王永良診所,,,,,◎,◎,◎,,,,臺北市北投區自強街94號,(02)28227287,
372,63000120,永安家庭醫學科診所,,,,,◎,◎,◎,,,,臺北市北投區中央北路一段172號,(02)28940888,
373,63000120,林文正耳鼻喉科診所,,,,,◎,◎,◎,,,,臺北市北投區明德路92號1樓,(02)28261083,
374,63000120,長宏診所,,,,,◎,◎,◎,,,,臺北市北投區中央北路二段121號,(02)28967372,
375,63000120,洪耳鼻喉科診所,,,,,◎,◎,◎,,,,臺北市北投區中央南路一段43號,(02)28928769,
376,63000120,紀耳鼻喉科診所,,,,,◎,◎,◎,,,,臺北市北投區石牌路二段57號,(02)28214485,
377,63000120,祐民聯合診所,,,,,◎,◎,◎,,,,臺北市北投區中央南路一段207號,(02)28951301,
378,63000120,常哲診所,,,,,◎,◎,◎,,,,臺北市北投區明德路157之4號,(02)28285515,
379,63000120,康田診所,,,,,◎,◎,◎,,,,臺北市北投區自強街76號,(02)28210988,
380,63000120,張參雄診所,,,,,◎,◎,◎,,,,臺北市北投區光明路166-1號,(02)28926555,
381,63000120,陳珀勳診所,,,,,◎,◎,◎,,,,臺北市北投區明德路85號1樓,(02)28206263,
382,63000120,萬泰診所,,,,,◎,◎,◎,,,,臺北市北投區中央北路二段52號,(02)28930727,
383,63000120,吉安診所,,,,,◎,◎,,,,,臺北市北投區西安街一段281巷18號,(02)28231832,
384,63000120,翰譽耳鼻喉科診所,,,,,◎,◎,,,,,臺北市北投區中央南路一段189號1樓,(02)28959986,
